weather_station,for_date,for_hour,rain
wardha/deoli/bhidi,2023-06-06,2,0.0
wardha/deoli/bhidi,2023-06-06,3,0.0
wardha/deoli/bhidi,2023-06-06,4,0.0
wardha/deoli/bhidi,2023-06-06,5,0.0
wardha/deoli/bhidi,2023-06-06,6,0.0
wardha/deoli/bhidi,2023-06-06,7,0.0
wardha/deoli/bhidi,2023-06-06,8,0.0
wardha/deoli/bhidi,2023-06-06,9,0.0
wardha/deoli/bhidi,2023-06-06,10,0.0
wardha/deoli/bhidi,2023-06-06,11,0.0
wardha/deoli/bhidi,2023-06-06,12,0.0
wardha/deoli/bhidi,2023-06-06,13,0.0
wardha/deoli/bhidi,2023-06-06,14,0.0
wardha/deoli/bhidi,2023-06-06,15,0.0
wardha/deoli/bhidi,2023-06-06,16,0.0
wardha/deoli/bhidi,2023-06-06,17,0.0
wardha/deoli/bhidi,2023-06-06,18,0.0
wardha/deoli/bhidi,2023-06-06,19,0.0
wardha/deoli/bhidi,2023-06-06,20,0.0
wardha/deoli/bhidi,2023-06-06,21,0.0
wardha/deoli/bhidi,2023-06-06,22,0.0
wardha/deoli/bhidi,2023-06-06,23,0.0
wardha/deoli/bhidi,2023-06-07,0,0.0
wardha/deoli/bhidi,2023-06-07,1,0.0
wardha/deoli/bhidi,2023-06-07,2,0.0
wardha/deoli/bhidi,2023-06-07,3,0.0
wardha/deoli/bhidi,2023-06-07,4,0.0
wardha/deoli/bhidi,2023-06-07,5,0.0
wardha/deoli/bhidi,2023-06-07,6,0.0
wardha/deoli/bhidi,2023-06-07,7,0.0
wardha/deoli/bhidi,2023-06-07,8,0.0
wardha/deoli/bhidi,2023-06-07,9,0.0
wardha/deoli/bhidi,2023-06-07,10,0.0
wardha/deoli/bhidi,2023-06-07,11,0.0
wardha/deoli/bhidi,2023-06-07,12,0.0
wardha/deoli/bhidi,2023-06-07,13,0.0
wardha/deoli/bhidi,2023-06-07,14,0.0
wardha/deoli/bhidi,2023-06-07,15,0.0
wardha/deoli/bhidi,2023-06-07,16,0.0
wardha/deoli/bhidi,2023-06-07,17,0.0
wardha/deoli/bhidi,2023-06-07,18,0.0
wardha/deoli/bhidi,2023-06-07,19,0.0
wardha/deoli/bhidi,2023-06-07,20,0.0
wardha/deoli/bhidi,2023-06-07,21,0.0
wardha/deoli/bhidi,2023-06-07,22,0.0
wardha/deoli/bhidi,2023-06-07,23,0.0
wardha/deoli/bhidi,2023-06-08,0,0.0
wardha/deoli/bhidi,2023-06-08,1,0.0
wardha/deoli/bhidi,2023-06-08,2,0.0
wardha/deoli/bhidi,2023-06-08,3,0.0
wardha/deoli/bhidi,2023-06-08,4,0.0
wardha/deoli/bhidi,2023-06-08,5,0.5
wardha/deoli/bhidi,2023-06-08,6,0.5
wardha/deoli/bhidi,2023-06-08,7,0.0
wardha/deoli/bhidi,2023-06-08,8,0.0
wardha/deoli/bhidi,2023-06-08,9,0.0
wardha/deoli/bhidi,2023-06-08,10,0.0
wardha/deoli/bhidi,2023-06-08,11,0.0
wardha/deoli/bhidi,2023-06-08,12,0.0
wardha/deoli/bhidi,2023-06-08,13,0.0
wardha/deoli/bhidi,2023-06-08,14,0.0
wardha/deoli/bhidi,2023-06-08,15,0.0
wardha/deoli/bhidi,2023-06-08,16,0.0
wardha/deoli/bhidi,2023-06-08,17,0.0
wardha/deoli/bhidi,2023-06-08,18,0.0
wardha/deoli/bhidi,2023-06-08,19,0.0
wardha/deoli/bhidi,2023-06-08,20,0.0
wardha/deoli/bhidi,2023-06-08,21,0.0
wardha/deoli/bhidi,2023-06-08,22,0.0
wardha/deoli/bhidi,2023-06-08,23,0.0
wardha/deoli/bhidi,2023-06-09,0,0.0
wardha/deoli/bhidi,2023-06-09,1,0.0
wardha/deoli/bhidi,2023-06-09,2,0.0
wardha/deoli/bhidi,2023-06-09,3,0.0
wardha/deoli/bhidi,2023-06-09,4,0.0
wardha/deoli/bhidi,2023-06-09,5,0.0
wardha/deoli/bhidi,2023-06-09,6,0.0
wardha/deoli/bhidi,2023-06-09,7,0.0
wardha/deoli/bhidi,2023-06-09,8,0.0
wardha/deoli/bhidi,2023-06-09,9,0.0
